# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	148898
#@/user_id	Mac
B zhan 	B站	c=1 d=1 t=103033
dai li 	代理	c=44 d=1 t=131225
dai ma 	代码	c=211 d=1.01622 t=148353
dai ma da quan 	代码大全	c=1 d=1 t=107179
dai ma li 	代码里	c=1 d=1 t=142396
dai ma ti shi 	代码提示	c=1 d=1 t=99404
dai ma zu 	代码组	c=1 d=1 t=148357
dai mei 	带妹	c=2 d=1 t=101800
dai ni 	带你	c=21 d=1 t=130713
dai ni qu 	带你去	c=1 d=1 t=61416
dai ru 	代入	c=3 d=2.67133 t=100286
dai san 	带伞	c=2 d=1 t=44699
dai shang 	带上	c=3 d=1 t=110770
dai shang lai 	带上来	c=1 d=1 t=56454
dai shou ji 	带手机	c=1 d=1 t=40454
dai ta 	带他	c=1 d=1 t=60498
dai ti 	代替	c=4 d=1 t=127150
dai tou 	带头	c=1 d=1 t=119250
dai wo 	带我	c=1 d=1 t=99894
dai xia qu 	带下去	c=2 d=1 t=23219
dai xian 	带线	c=8 d=1 t=128670
dai xin 	带薪	c=1 d=1 t=55141
dai ye 	待业	c=2 d=1 t=44735
dai yu 	待遇	c=1 d=1 t=78415
dai zhai 	戴宅	c=0 d=0.1 t=74240
dai zhe 	带着	c=1 d=1 t=80298
dai zhe 	戴着	c=1 d=1 t=132908
dai zou 	带走	c=2 d=1.956 t=14360
dan 	但	c=22 d=1.01832 t=140439
dan 	单	c=6 d=1 t=143761
dan 	淡	c=2 d=1 t=47783
dan 	蛋	c=4 d=1.07267 t=45210
dan bao fan 	蛋包饭	c=1 d=1 t=127890
dan bi xu you 	但必须有	c=1 d=1 t=65906
dan bo 	单薄	c=1 d=1 t=52016
dan bu duo 	但不多	c=1 d=1 t=61354
dan bu neng 	但不能	c=1 d=1 t=1314
dan che 	单车	c=3 d=2.98012 t=46231
dan chu 	淡出	c=2 d=1 t=138540
dan chun 	单纯	c=8 d=1.04856 t=138541
dan ci 	单词	c=4 d=1.00001 t=132157
dan dai 	单带	c=2 d=1.95123 t=57065
dan dai 	担待	c=1 d=1 t=57054
dan dan 	蛋蛋	c=4 d=1.956 t=129400
dan ding 	淡定	c=1 d=1 t=122786
dan du 	单独	c=20 d=2.92654 t=146240
dan fan 	但凡	c=3 d=1 t=66785
dan gao 	蛋糕	c=1 d=1 t=65143
dan hai shi 	但还是	c=1 d=1 t=12785
dan hua 	淡化	c=1 d=1 t=5581
dan ji 	单机	c=5 d=1 t=112311
dan ke 	弹壳	c=1 d=1 t=15991
dan ke 	蛋壳	c=1 d=1 t=15990
dan mu 	弹幕	c=8 d=1 t=146704
dan pai 	单排	c=4 d=1.84366 t=90675
dan ren 	单人	c=3 d=1 t=109101
dan ren 	担任	c=1 d=1 t=102429
dan ren mo shi 	单人模式	c=1 d=1 t=108358
dan se diao 	单色调	c=1 d=1 t=114902
dan sha 	丹砂	c=1 d=1 t=63863
dan sha 	单杀	c=4 d=1 t=109061
dan shen 	单身	c=2 d=1 t=55492
dan shi 	但是	c=240 d=2.09884 t=148898
dan shi ni 	但是你	c=2 d=1.01111 t=16655
dan shuang gang 	单双杠	c=1 d=1 t=49594
dan ta 	蛋挞	c=1 d=1 t=66271
dan teng 	蛋疼	c=2 d=1 t=97293
dan tiao 	单挑	c=1 d=1 t=75968
dan wei 	单位	c=1 d=1 t=23065
dan wen jian 	单文件	c=3 d=1 t=106064
dan wo jue de 	但我觉得	c=1 d=1 t=100214
dan xiang 	单向	c=1 d=1 t=38860
dan xiao 	胆小	c=1 d=1 t=129390
dan xin 	担心	c=2 d=1 t=36690
dan xiu 	单休	c=1 d=1 t=56735
dan xuan 	单选	c=1 d=1 t=116952
dan ye 	但也	c=1 d=1 t=24252
dan ye mian 	单页面	c=3 d=1.96561 t=144249
dan yi 	单一	c=5 d=1.00951 t=113431
dan yuan 	但愿	c=2 d=1 t=146213
dan yuan 	单元	c=9 d=2.78863 t=148394
dan zhe yang 	但这样	c=1 d=1 t=123824
dan zi 	单子	c=8 d=1 t=88191
dan zi 	胆子	c=2 d=1 t=129876
dang 	党	c=1 d=1 t=129526
dang 	当	c=46 d=1.0513 t=142770
dang 	档	c=1 d=1 t=25920
dang an dai 	档案袋	c=1 d=1 t=38552
dang an guan 	档案馆	c=1 d=1 t=100739
dang bu ru 	当不如	c=1 d=1 t=104343
dang chang 	当场	c=4 d=1 t=119007
dang cheng 	当成	c=1 d=1 t=61182
dang chu 	当初	c=6 d=1 t=148473
dang chu mai 	当初买	c=1 d=1 t=125353
dang dang 	当当	c=1 d=1 t=70862
dang ji 	宕机	c=1 d=1 t=80377
dang mian 	当面	c=2 d=1 t=51952
dang nian 	当年	c=3 d=1 t=87631
dang qian 	当前	c=20 d=1.49659 t=144150
dang qian hang 	当前行	c=1 d=1 t=143191
dang ran 	当然	c=18 d=0.263158 t=148898
dang shi 	当时	c=3 d=1 t=121615
dang shi ren 	当事人	c=1 d=1 t=8925
dang tian 	当天	c=5 d=1 t=81907
dang wo 	当我	c=2 d=1 t=120920
dang xia 	当下	c=1 d=1 t=37220
dang xuan 	当选	c=1 d=1 t=21121
dang zhu 	挡住	c=1 d=1 t=6150
dang zi 	当子	c=0 d=0.1 t=59473
dang zuo 	当作	c=4 d=1 t=140076
dao 	倒	c=7 d=1 t=107936
dao 	刀	c=27 d=1.0073 t=126300
dao 	到	c=478 d=0.661731 t=148898
dao 	导	c=1 d=1 t=119367
dao 	岛	c=1 d=0.1 t=142796
dao 	道	c=6 d=1 t=141855
dao ba 	刀疤	c=1 d=1 t=19478
dao ban 	盗版	c=1 d=1 t=37779
dao bi 	倒闭	c=13 d=1 t=107466
dao bu hui 	倒不会	c=1 d=1 t=20837
dao bu shi 	倒不是	c=2 d=1 t=49224
dao chu 	到处	c=4 d=1 t=78378
dao chu 	导出	c=22 d=1.00073 t=139466
dao chu dou shi 	到处都是	c=1 d=1 t=76642
dao chu lai 	倒出来	c=1 d=1 t=101197
dao chu lie biao 	导出列表	c=1 d=1 t=130943
dao da 	到达	c=1 d=1 t=68298
dao de 	到的	c=1 d=1 t=47567
dao de 	道德	c=1 d=1 t=47568
dao di 	到底	c=8 d=1 t=101867
dao dian 	到店	c=2 d=1 t=135930
dao dian 	导电	c=1 d=1 t=9518
dao ding 	到顶	c=1 d=1 t=32086
dao ge qian 	道个歉	c=1 d=1 t=85413
dao hang 	导航	c=8 d=2.00204 t=130790
dao huo 	到货	c=1 d=1 t=12915
dao jia 	到家	c=22 d=1.66365 t=148187
dao jia 	道家	c=1 d=1 t=10372
dao jia le 	到家了	c=2 d=1 t=25875
dao jia mei 	到家没	c=1 d=1 t=7399
dao ju 	道具	c=1 d=1 t=81061
dao kou 	刀口	c=4 d=2.52999 t=47741
dao la ji 	倒垃圾	c=1 d=1 t=21557
dao le 	倒了	c=1 d=1 t=18763
dao le 	到了	c=15 d=0.657233 t=148898
dao le me 	到了么	c=1 d=1 t=31166
dao li 	道理	c=24 d=1 t=148467
dao mo 	倒模	c=1 d=1 t=23520
dao na 	到那	c=1 d=1 t=103992
dao na le 	到哪了	c=12 d=1 t=140561
dao ni na 	到你那	c=1 d=1 t=113810
dao pian 	刀片	c=1 d=1 t=73967
dao qi 	到期	c=22 d=1.53124 t=137639
dao qi le 	到期了	c=1 d=1 t=114350
dao qi qian 	到期前	c=1 d=1 t=123627
dao qian 	倒欠	c=3 d=1 t=146665
dao ran 	到然	c=1 d=1 t=47807
dao ru 	导入	c=21 d=1.91629 t=139179
dao shi 	倒是	c=23 d=1 t=145480
dao shi hou 	到时候	c=35 d=0.371577 t=148898
dao shi hou kan ba 	到时候看吧	c=1 d=1 t=1587
dao shi jian 	到时见	c=1 d=1 t=147553
dao shu di er 	倒数第二	c=1 d=1 t=106252
dao suan 	捣蒜	c=2 d=1.99501 t=38528
dao tie 	倒贴	c=2 d=1 t=50823
dao tou 	刀头	c=13 d=6.12007 t=74534
dao tui 	倒推	c=1 d=1 t=9196
dao wei 	到位	c=3 d=1 t=141800
dao xian zai 	到现在	c=1 d=1 t=21423
dao zhi 	导致	c=17 d=1.01191 t=148846
dao zhi wo 	导致我	c=1 d=1 t=5584
de 	地	c=1 d=1 t=48198
de 	得	c=192 d=1.40629 t=148898
de 	德	c=1 d=1 t=9926
de 	的	c=8824 d=10.5467 t=148898
de ban quan 	的版权	c=1 d=1 t=94671
de bing 	得病	c=2 d=1.96561 t=51976
de chang suo yuan 	得偿所愿	c=1 d=1 t=125228
de cun jin chi 	得寸进尺	c=1 d=1 t=85321
de dao 	得到	c=7 d=1 t=139033
de dong xi 	的东西	c=1 d=1 t=12361
de duo 	得多	c=0 d=0.1 t=6229
de fen er 	得分儿	c=1 d=1 t=76194
de hua 	德华	c=7 d=1 t=128730
de hua 	的话	c=1 d=1 t=27616
de jin 	得劲	c=4 d=1 t=59027
de le 	得了	c=5 d=1 t=147205
de liao 	得了	c=2 d=1 t=129456
de liu cheng 	的流程	c=1 d=1 t=96364
de mie 	的咩	c=5 d=1 t=76325
de nie 	的捏	c=1 d=0.815338 t=134823
de o 	的哦	c=2 d=1 t=69699
de se 	嘚瑟	c=1 d=1 t=127794
de shi 	的是	c=1 d=1 t=42518
de xing 	德行	c=1 d=1 t=65391
de yi 	得意	c=1 d=1 t=129422
de zhou 	得州	c=1 d=1 t=37736
de zhou 	德州	c=1 d=1 t=37737
de zong neng 	的总能	c=1 d=1 t=118981
de zong shuo 	的总说	c=1 d=1 t=73979
deng 	灯	c=12 d=1 t=94228
deng 	瞪	c=1 d=1 t=64095
deng 	等	c=104 d=1.17817 t=147115
deng 	蹬	c=3 d=1 t=116971
deng bu dao 	等不到	c=1 d=1 t=25976
deng bu liao 	等不了	c=1 d=1 t=2439
deng chu 	登出	c=2 d=1.07926 t=131295
deng deng 	等等	c=11 d=0.144424 t=148898
deng gai 	等改	c=1 d=1 t=50506
deng hao 	等号	c=1 d=1 t=113836
deng hui 	等会	c=1 d=1 t=51313
deng hui er 	等会儿	c=25 d=1.03615 t=132304
deng hui zai shuo ba 	等会再说吧	c=1 d=1 t=15180
deng ji 	登记	c=7 d=0.740818 t=148898
deng ji 	等级	c=1 d=1 t=31446
deng lu 	登录	c=61 d=1 t=146866
deng ni 	等你	c=39 d=1.71534 t=142429
deng ni men 	等你们	c=2 d=1 t=58356
deng pao 	灯泡	c=1 d=1 t=54153
deng ta 	等他	c=1 d=1 t=145366
deng ta men 	等他们	c=1 d=1 t=136231
deng wo 	等我	c=14 d=1.00107 t=143688
deng xia 	等下	c=165 d=1.00943 t=148868
deng xia ban 	等下班	c=1 d=1 t=9005
deng yi xia 	等一下	c=2 d=1 t=49763
deng yu 	等于	c=6 d=1 t=146421
deng zhe 	等着	c=5 d=1 t=81098
deng zhe ba 	等着吧	c=1 d=1 t=90456
di 	低	c=13 d=1.99501 t=143725
di 	地	c=3 d=1 t=130294
di 	帝	c=0 d=0.1 t=27192
di 	底	c=3 d=1 t=142286
di 	滴	c=24 d=1.10127 t=148074
di 	第	c=3 d=1 t=128818
di ban 	地板	c=12 d=1 t=21290
di bu 	地步	c=1 d=1 t=112702
di bu 	底部	c=1 d=1 t=112700
di ceng 	底层	c=7 d=1 t=141948
di chu 	抵触	c=1 d=1 t=55992
di da 	滴答	c=2 d=1.98511 t=147254
di dai ma 	低代码	c=2 d=1 t=117175
di di 	弟弟	c=26 d=1.19107 t=133910
di di 	滴滴	c=11 d=1.34733 t=88204
di dian 	地垫	c=3 d=1 t=141725
di dian 	地点	c=2 d=1 t=141726
di dian liang 	低电量	c=1 d=1 t=91014
di duan 	低端	c=1 d=1 t=125532
di er 	第二	c=3 d=1 t=69966
di er ba 	第二把	c=7 d=1.91393 t=118698
di er bei 	第二杯	c=2 d=1 t=62195
di er bu 	第二步	c=1 d=1 t=51207
di er ci 	第二次	c=2 d=1 t=25124
di er dao 	第二道	c=2 d=1.81465 t=35766
di er ge 	第二个	c=6 d=1 t=130735
di er ji 	第二季	c=2 d=1 t=69282
di er jian 	第二件	c=1 d=1 t=147760
di er nian 	第二年	c=1 d=1 t=100153
di er pian 	第二篇	c=0 d=0.1 t=31039
di er pian yi 	第二篇一	c=1 d=1 t=31040
di er tian 	第二天	c=3 d=1 t=38571
di er tiao 	第二条	c=1 d=1 t=35756
di er zhong 	第二种	c=1 d=1 t=33156
di fang 	地方	c=40 d=1.0136 t=138705
di fang xing 	地方性	c=1 d=1 t=49667
di fen 	低分	c=0 d=0.1 t=65349
di fen zai 	低分仔	c=1 d=1 t=65350
di gu 	低估	c=2 d=1 t=78761
di gu 	低谷	c=1 d=1 t=69905
di gui 	递归	c=3 d=1 t=135060
di hen duo 	低很多	c=1 d=1 t=131083
di ji 	低级	c=2 d=1 t=124970
di jia 	低价	c=6 d=1.90484 t=113815
di jia qu 	低价区	c=7 d=1 t=135537
di ka nong 	迪卡侬	c=1 d=1 t=70975
di kang 	抵抗	c=1 d=1 t=74692
di kang li ruo 	抵抗力弱	c=1 d=1 t=74696
di kou 	抵扣	c=1 d=1 t=42492
di ku 	地库	c=1 d=1 t=58374
di le 	低了	c=1 d=1 t=114788
di li 	地理	c=1 d=1 t=103385
di ma nao 	滴玛瑙	c=1 d=1 t=134605
di mian 	地面	c=6 d=0.774916 t=148898
di nuan 	地暖	c=16 d=1 t=127913
di qi 	底气	c=1 d=1 t=60751
di qu 	地区	c=2 d=1 t=93101
di ren jie 	狄仁杰	c=5 d=1 t=133897
di san ba 	第三把	c=1 d=1 t=55974
di san fang 	第三方	c=10 d=1 t=141911
di san fang ku 	第三方库	c=1 d=1 t=58976
di san ge 	第三个	c=2 d=1 t=131324
di san ge ren 	第三个人	c=1 d=1 t=95642
di san tian 	第三天	c=1 d=1 t=56470
di shang 	地上	c=8 d=1.00005 t=67879
di sheng xia qi 	低声下气	c=1 d=1 t=100183
di shui 	滴水	c=1 d=1 t=80213
di shui sheng 	滴水声	c=1 d=1 t=80251
di si 	第四	c=1 d=1 t=84569
di si ge 	第四个	c=1 d=1 t=41721
di si ji 	第四集	c=1 d=1 t=51222
di si zhong 	第四种	c=1 d=1 t=26297
di su 	低俗	c=1 d=1 t=141943
di suo 	地锁	c=2 d=1 t=55234
di tai 	地台	c=1 d=1 t=66870
di tan 	地摊	c=1 d=1 t=72576
di tan 	地毯	c=7 d=1 t=72574
di tie 	地铁	c=25 d=1.7372 t=142431
di tie zhan 	地铁站	c=2 d=1 t=141566
di tou 	低头	c=1 d=1 t=30396
di wei 	地位	c=1 d=1 t=30843
di wu nian 	第五年	c=1 d=1 t=134607
di wu tian 	第五天	c=1 d=1 t=9348
di xia 	地下	c=1 d=1 t=16510
di xia 	底下	c=4 d=1 t=56570
di xing 	低星	c=1 d=1 t=133647
di xue tang 	低血糖	c=1 d=1 t=11523
di yi 	第一	c=8 d=1 t=138072
di yi ba 	第一把	c=7 d=1 t=128804
di yi ban 	第一版	c=1 d=1 t=131006
di yi bao 	第一包	c=1 d=1 t=62237
di yi bo 	第一波	c=1 d=1 t=63373
di yi bu 	第一步	c=1 d=1 t=140083
di yi ci 	第一次	c=14 d=1 t=146380
di yi ci ting 	第一次听	c=0 d=0.1 t=145473
di yi ci ting shuo 	第一次听说	c=1 d=1 t=145474
di yi dao 	第一道	c=1 d=1 t=35775
di yi fan ying 	第一反应	c=1 d=1 t=95462
di yi ge 	第一个	c=15 d=1 t=147000
di yi ji 	第一季	c=2 d=1 t=99116
di yi ji 	第一集	c=1 d=1 t=12757
di yi jie 	第一节	c=2 d=1.9802 t=88322
di yi ming 	第一名	c=1 d=1 t=137041
di yi nian 	第一年	c=2 d=1 t=117717
di yi pai 	第一排	c=3 d=1 t=76399
di yi pi 	第一批	c=1 d=1 t=49472
di yi qi 	第一期	c=1 d=1 t=39512
di yi ren 	第一人	c=1 d=1 t=100536
di yi shi jian 	第一时间	c=7 d=1.00001 t=137530
di yi tao 	第一套	c=2 d=1.96079 t=26198
di yi tian 	第一天	c=3 d=1 t=75350
di yi tiao 	第一条	c=1 d=1 t=35753
di yi xie 	低一些	c=1 d=1 t=27744
di yu 	低于	c=2 d=1 t=114708
di yu 	地域	c=2 d=1 t=85461
di zhi 	地址	c=111 d=1.06112 t=146818
di zhi 	抵制	c=1 d=1 t=44842
di zhi lan 	地址栏	c=1 d=1 t=128024
di zhu 	地主	c=1 d=1 t=99083
di zhu jia 	地主家	c=1 d=1 t=52178
di zi 	底子	c=1 d=1 t=64439
di zuo 	底座	c=1 d=1 t=11133
dia chang 	嗲长	c=1 d=1 t=25512
dian 	垫	c=1 d=1 t=65898
dian 	店	c=8 d=1 t=127866
dian 	点	c=563 d=1.80518 t=148673
dian 	电	c=19 d=1 t=97000
dian ban 	点半	c=4 d=1 t=147851
dian cai 	点菜	c=2 d=1 t=103296
dian cang 	典藏	c=5 d=2.70237 t=148158
dian cang le 	典藏了	c=1 d=1 t=93501
dian che 	电车	c=7 d=1 t=147086
dian chi 	电池	c=19 d=1 t=130273
dian chi fan 	点吃饭	c=1 d=1 t=50000
dian ci lu 	电磁炉	c=1 d=1 t=21377
dian dao 	电刀	c=3 d=1 t=68158
dian di 	垫底	c=1 d=1 t=49697
dian di la mei 	垫底辣妹	c=1 d=1 t=34669
dian dian 	垫垫	c=2 d=1 t=146314
dian dian du zi 	垫垫肚子	c=2 d=1 t=103262
dian dong 	电动	c=4 d=1.3379 t=74232
dian dong che 	电动车	c=11 d=1 t=130360
dian dong che hen kuai 	电动车很快	c=1 d=1 t=16620
dian dong chuang 	电动床	c=1 d=1 t=66878
dian fan bao 	电饭煲	c=1 d=1 t=39379
dian fan guo 	电饭锅	c=1 d=1 t=39386
dian fei 	电费	c=3 d=1 t=56660
dian feng 	巅峰	c=12 d=3.77304 t=101940
dian feng fen 	巅峰分	c=1 d=1 t=71821
dian feng sai 	巅峰赛	c=25 d=1 t=124477
dian ge 	垫个	c=0 d=0.1 t=59146
dian ge du zi 	垫个肚子	c=1 d=1 t=59147
dian gu 	典故	c=1 d=1 t=110753
dian hao 	点好	c=2 d=1.00001 t=95455
dian hao le 	点好了	c=2 d=0.1 t=127176
dian hao le ma 	点好了吗	c=1 d=1 t=127177
dian hua 	电话	c=37 d=1 t=130493
dian hua li 	电话里	c=2 d=1 t=95406
dian hua sheng 	点花生	c=1 d=1 t=63391
dian huo lu 	电火炉	c=2 d=1.8825 t=76479
dian ji 	点击	c=20 d=1.96561 t=131664
dian ji 	电击	c=7 d=1.32723 t=120862
dian ji 	电机	c=1 d=1 t=57526
dian jia re 	电加热	c=1 d=1 t=65808
dian jin qu 	点进去	c=9 d=1 t=126174
dian jing fang 	电竞房	c=1 d=1 t=2667
dian kai 	点开	c=5 d=1 t=139210
dian le 	点了	c=1 d=1 t=3690
dian li 	店里	c=3 d=1 t=126030
dian li 	电力	c=7 d=1 t=126029
dian li gong si 	电力公司	c=1 d=1 t=20874
dian li ju 	电力局	c=1 d=1 t=48928
dian liang 	电量	c=4 d=1.00053 t=67598
dian liu 	电流	c=1 d=1 t=62778
dian lu ban 	电路板	c=1 d=1 t=102359
dian nao 	电脑	c=99 d=1 t=147248
dian nao bao 	电脑包	c=1 d=1 t=2491
dian nao bao 	电脑报	c=1 d=1 t=2490
dian nao duan 	电脑端	c=1 d=1 t=24202
dian nao ni 	电脑你	c=1 d=1 t=12913
dian nao qian 	电脑前	c=4 d=1 t=113190
dian nao shang 	电脑上	c=1 d=1 t=106854
dian nao yi 	电脑椅	c=2 d=1.29083 t=2670
dian nuan 	电暖	c=2 d=1 t=76303
dian nuan lu 	电暖炉	c=1 d=1 t=76945
dian ping 	点评	c=2 d=1 t=59877
dian ping 	电瓶	c=2 d=1 t=27286
dian pu 	店铺	c=8 d=5.00276 t=103415
dian qi 	电器	c=1 d=1 t=87909
dian quan 	点券	c=2 d=1.86936 t=131443
dian re 	电热	c=1 d=1 t=76301
dian re tan 	电热毯	c=2 d=1.99501 t=88489
dian shan 	电扇	c=3 d=1 t=22329
dian shang 	电商	c=1 d=1 t=45021
dian shi 	电视	c=16 d=4.70551 t=131638
dian shi gui 	电视柜	c=3 d=1 t=61651
dian shi ji 	电视机	c=9 d=2.72858 t=93323
dian shi jia 	电视家	c=7 d=1 t=127960
dian shi ju 	电视剧	c=4 d=1.02732 t=92282
dian shi pin dao 	电视频道	c=1 d=1 t=61513
dian shi shang 	电视上	c=2 d=1 t=82420
dian shi tai 	电视台	c=3 d=1.956 t=61483
dian ti 	电梯	c=3 d=1 t=126510
dian wai mai 	点外卖	c=1 d=1 t=65608
dian wan 	点完	c=1 d=1 t=41068
dian wan 	电玩	c=2 d=1.81058 t=75922
dian wan dian 	电玩店	c=1 d=1 t=60815
dian wan xiao zi 	电玩小子	c=1 d=1 t=59599
dian wei 	典韦	c=1 d=1 t=53741
dian xian 	电线	c=1 d=1 t=41174
dian xin 	电信	c=9 d=1 t=129961
dian xing 	典型	c=4 d=1 t=94044
dian ya 	电压	c=1 d=1 t=62776
dian ying 	电影	c=11 d=1 t=121444
dian ying li 	电影里	c=1 d=1 t=8170
dian yuan 	店员	c=2 d=1.10026 t=61348
dian zan 	点赞	c=1 d=1 t=105238
dian zha 	电闸	c=1 d=1 t=59435
dian zhe 	垫着	c=1 d=1 t=46561
dian zhi shu 	电纸书	c=1 d=1 t=24518
dian zhong dian 	典中典	c=1 d=1 t=59827
dian zi 	垫子	c=1 d=1 t=44859
dian zi 	电子	c=5 d=1 t=82534
dian zi ban 	电子版	c=2 d=1 t=111096
dian zi chan pin 	电子产品	c=2 d=1.956 t=26866
dian zi cheng 	电子城	c=2 d=1 t=64797
dian zi qian bao 	电子钱包	c=2 d=1 t=59843
dian zi shu 	电子书	c=8 d=1 t=130746
diao 	刁	c=1 d=1 t=111672
diao 	屌	c=28 d=1.00284 t=148504
diao 	掉	c=41 d=1.33969 t=147942
diao 	调	c=1 d=0.1 t=68815
diao bao 	调包	c=1 d=1 t=107295
diao cha 	调查	c=4 d=1 t=138815
diao chan 	貂蝉	c=3 d=1 t=72208
diao cheng 	掉秤	c=1 d=1 t=9806
diao da 	吊打	c=2 d=1 t=72189
diao deng 	吊灯	c=2 d=1.00389 t=12240
diao ding 	吊顶	c=2 d=1.97531 t=66083
diao du 	调度	c=1 d=1 t=52800
diao duan 	掉段	c=1 d=1 t=50790
diao fen 	掉分	c=1 d=1 t=74812
diao fen 	掉粉	c=1 d=1 t=74811
diao huan 	调换	c=1 d=1 t=112223
diao jia 	掉价	c=1 d=1 t=52199
diao jie kou 	调接口	c=1 d=1 t=68816
diao jin qu 	掉进去	c=3 d=1 t=137191
diao le 	掉了	c=7 d=1 t=92883
diao luo 	掉落	c=1 d=1 t=124868
diao mao 	屌毛	c=1 d=1 t=108775
diao mao 	掉毛	c=2 d=1 t=137192
diao pi 	掉皮	c=2 d=1.97531 t=28108
diao qi lai 	吊起来	c=2 d=1 t=67633
diao wan 	刁顽	c=1 d=1 t=63713
diao xia 	掉下	c=1 d=1 t=76256
diao xia lai 	掉下来	c=1 d=1 t=49595
diao xian 	掉线	c=1 d=1 t=29936
diao xing xing 	屌星星	c=1 d=1 t=63535
diao yan 	调研	c=4 d=1 t=144525
diao yong 	调用	c=46 d=1.00001 t=130751
diao yong lian 	调用链	c=3 d=1 t=111442
diao yu 	钓鱼	c=0 d=0.1 t=56096
diao yu lao 	钓鱼老	c=1 d=1 t=56097
diao yu zhi fa 	钓鱼执法	c=1 d=1 t=46279
diao zhen 	掉帧	c=3 d=1 t=90553
die 	爹	c=6 d=1 t=148898
die 	跌	c=1 d=1 t=125667
die dai 	迭代	c=4 d=1 t=132550
die die 	爹爹	c=6 d=1 t=118623
die shao 	爹少	c=1 d=1 t=76847
die yi fu 	叠衣服	c=1 d=1 t=102144
ding 	丁	c=2 d=1.00001 t=15976
ding 	定	c=5 d=1.00001 t=128153
ding 	订	c=1 d=1 t=15076
ding 	顶	c=16 d=1 t=125422
ding bu 	顶部	c=3 d=1 t=144689
ding bu zhu 	顶不住	c=17 d=1.06587 t=132828
ding dan 	订单	c=3 d=1 t=96500
ding de zhu 	顶得住	c=2 d=1 t=98018
ding dian 	顶点	c=1 d=1 t=97859
ding ding 	钉钉	c=4 d=1 t=105397
ding fa 	定法	c=3 d=1 t=104812
ding ge 	定个	c=2 d=1 t=68621
ding gou 	订购	c=1 d=1 t=22096
ding ji 	顶级	c=2 d=1 t=141285
ding jian 	顶尖	c=3 d=1.00096 t=73805
ding jiao 	定焦	c=1 d=1 t=34962
ding jin 	订金	c=1 d=1 t=22229
ding lou 	顶楼	c=1 d=1 t=29506
ding pei 	顶配	c=2 d=1 t=78185
ding qi 	定期	c=6 d=1 t=140019
ding shang 	盯上	c=1 d=1 t=10938
ding shi 	定式	c=2 d=1 t=139661
ding shi 	定时	c=13 d=1.47332 t=136385
ding shi ren wu 	定时任务	c=1 d=1 t=46821
ding tou 	定投	c=1 d=1 t=128256
ding wei 	定位	c=7 d=1 t=130879
ding yi 	定义	c=28 d=1 t=138762
ding yue 	订阅	c=36 d=1 t=138662
ding yue fei 	订阅费	c=1 d=1 t=26959
ding yue shu 	订阅数	c=2 d=1.02485 t=131541
ding yue yuan 	订阅源	c=3 d=1 t=91540
ding zhe 	盯着	c=7 d=1 t=140847
ding zhe 	顶着	c=1 d=1 t=81212
ding zhe dian 	盯着点	c=1 d=1 t=132450
ding zhe wo 	盯着我	c=1 d=1 t=71464
ding zhi 	定制	c=7 d=1.98511 t=107166
ding zhi gui 	定制柜	c=1 d=1 t=55735
ding zi 	钉子	c=1 d=1 t=89628
ding zui 	顶嘴	c=2 d=1.7827 t=98961
ding zuo 	定做	c=1 d=1 t=55774
diu 	丢	c=14 d=1 t=144685
diu le 	丢了	c=1 d=1 t=14387
diu ren 	丢人	c=1 d=1 t=67626
diu shi 	丢失	c=1 d=1 t=52437
dong 	东	c=7 d=1 t=106190
dong 	冻	c=6 d=1.956 t=130035
dong 	动	c=10 d=0.408469 t=148898
dong 	懂	c=33 d=1.43823 t=142171
dong an 	东岸	c=1 d=1 t=66521
dong bei 	东北	c=7 d=1 t=59977
dong bian men 	东便门	c=1 d=1 t=79468
dong bu dong 	动不动	c=2 d=1 t=145440
dong bu liao le 	动不了了	c=1 d=1 t=77419
dong che di 	懂车帝	c=12 d=7.3648 t=73520
dong cheng 	东城	c=1 d=1 t=77288
dong de dou dong 	懂的都懂	c=2 d=1 t=79896
dong dong ban 	洞洞板	c=2 d=1 t=8279
dong gua zi 	冬瓜子	c=1 d=1 t=135078
dong hua 	动画	c=12 d=1 t=139378
dong huai 	冻坏	c=1 d=1 t=114679
dong jie 	冻结	c=6 d=1.49659 t=123743
dong jing 	东京	c=1 d=1 t=28300
dong jing 	动静	c=3 d=1.96561 t=87566
dong le 	懂了	c=2 d=1 t=106349
dong li 	动力	c=1 d=1 t=25587
dong man 	动漫	c=3 d=1 t=126257
dong ming xing 	动明星	c=1 d=1 t=25285
dong shi 	懂事	c=1 d=1 t=7464
dong shou shu 	动手术	c=1 d=1 t=47664
dong si 	冻死	c=2 d=1 t=130566
dong si le 	冻死了	c=1 d=1 t=130314
dong tai 	动态	c=14 d=1 t=101466
dong tian 	冬天	c=5 d=1 t=130269
dong wu 	动物	c=2 d=1 t=82314
dong xi 	东西	c=234 d=0.421052 t=148898
dong xi ba 	东西吧	c=0 d=0.1 t=3767
dong xi bie 	东西别	c=1 d=1 t=21636
dong xiao 	洞箫	c=1 d=1 t=142317
dong xiu di 	懂秀帝	c=1 d=1 t=41022
dong yi dian 	懂一点	c=1 d=1 t=2319
dong yu xi 	东语系	c=1 d=1 t=53840
dong zhan 	东站	c=7 d=1 t=56050
dong zhu 	冻住	c=1 d=1 t=113589
dong zhu le 	冻住了	c=1 d=1 t=73427
